country,infected,infected %,deaths,recovered,population
Ghana,18,6.243496357960458e-05,1,0,28830000
Paraguay,17,0.00024959624137424756,1,0,6811000
Rwanda,17,0.00013923013923013922,0,0,12210000
Guatemala,16,9.461856889414548e-05,1,0,16910000
Togo,15,0.00019235701461913312,0,1,7798000
Kyrgyzstan,14,0.00022573363431151243,0,0,6202000
Montenegro,14,0.0022179307023394417,0,0,631219
Jamaica,13,0.0004498269896193771,1,2,2890000
Cote d'Ivoire,13,5.3519967064635647e-05,0,1,24290000
Mauritius,13,0.0010276679841897233,1,0,1265000
Maldives,13,0.002979396328466986,0,0,436330
French Guiana,12,0.0041280947810561726,0,6,290691
Monaco,11,0.028427445406383253,0,0,38695
Mongolia,10,0.00032509752925877764,0,0,3076000
Ethiopia,9,8.571428571428571e-06,0,0,105000000
Kenya,7,1.4084507042253522e-05,0,0,49700000
Mayotte,7,0.002589025490805261,0,0,270372
Seychelles,7,0.0073036111140093694,0,0,95843
Guyana,6,0.0007713480206566999,1,0,777859
Barbados,6,0.0020999653505717154,0,0,285719
Equatorial Guinea,6,0.00047318611987381704,0,0,1268000
Tanzania,6,1.0469377072064212e-05,0,0,57310000
"Bahamas, The",4,0,0,0,0
Suriname,4,0.0007099726305550921,0,0,563402
Gabon,3,0.00014814814814814815,1,0,2025000
Cabo Verde,3,0.0005490603746787997,0,0,546388
Central African Republic,3,6.43915003219575e-05,0,0,4659000
Congo (Brazzaville),3,0,0,0,0
El Salvador,3,4.7036688617121355e-05,0,0,6378000
Liberia,3,6.339814032121724e-05,0,0,4732000
Madagascar,3,1.1732499022291748e-05,0,0,25570000
Namibia,3,0.00011838989739542226,0,0,2534000
Zimbabwe,3,1.8148820326678764e-05,0,0,16530000
Angola,2,6.715916722632639e-06,0,0,29780000
Benin,2,1.7889087656529517e-05,0,0,11180000
Bhutan,2,0.0002476442837508203,0,0,807610
Guinea,2,1.572327044025157e-05,0,0,12720000
Haiti,2,1.8214936247723133e-05,0,0,10980000
Kosovo,2,0.00010922992900054615,0,0,1831000
Mauritania,2,4.524886877828054e-05,0,0,4420000
Nicaragua,2,3.21646831778707e-05,0,0,6218000
Saint Lucia,2,0.0011182930375075483,0,0,178844
Zambia,2,1.1702750146284378e-05,0,0,17090000
Sudan,1,2.467308166790032e-06,1,0,40530000
Antigua and Barbuda,1,0.000980276830176842,0,0,102012
Cape Verde,1,0.00018302012489293323,0,0,546388
Chad,1,6.7114093959731546e-06,0,0,14900000
Djibouti,1,0.00010449484579173132,0,0,956985
East Timor,1,7.716049382716049e-05,0,0,1296000
Eritrea,1,2.2346368715083797e-05,0,0,4475000
Eswatini,1,7.31528895391368e-05,0,0,1367000
Fiji,1,0.000110435979158522,0,0,905502
"Gambia, The",1,4.759638267491671e-05,0,0,2101000
Holy See,1,0.1,0,0,1000
Niger,1,4.655493482309124e-06,0,0,21480000
Papua New Guinea,1,1.2119743061447097e-05,0,0,8251000
Saint Vincent and the Grenadines,1,0.0009099429465772497,0,0,109897
Somalia,1,6.784260515603799e-06,0,0,14740000
Uganda,1,2.333177788147457e-06,0,0,42860000
Nepal,0,0.0,0,1,29300000
Greenland,0,0.0,0,0,56171
Guam,0,0.0,0,0,164229
Guernsey,0,0.0,0,0,66697
Jersey,0,0.0,0,0,97857
Puerto Rico,0,0.0,0,0,327200000
Republic of the Congo,0,0.0,0,0,5261000
The Bahamas,0,0.0,0,0,395361
The Gambia,0,0.0,0,0,2101000
